"36A61A94-8AC2-DEF2-E063-4704A8C046AE","220000","2025-05-02","M11 3TW","S","N","F","","31","HARTWELL CLOSE","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-8AC2-DEF2-E063-4704A8C046AE/current"
"2F7F2B43-CE82-E08F-E063-4804A8C05A49","220000","2025-02-14","M11 3UT","T","N","F","","6","RANDALL WALK","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-CE82-E08F-E063-4804A8C05A49/current"
"34222872-806F-4D2B-E063-4704A8C07853","173000","2025-03-28","M11 4EX","T","N","F","","6","KELLETT WALK","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-806F-4D2B-E063-4704A8C07853/current"
"34222872-837D-4D2B-E063-4704A8C07853","195000","2025-03-19","M11 4FP","S","N","F","","17","ASHURST AVENUE","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-837D-4D2B-E063-4704A8C07853/current"
"2ACACE8D-8983-295E-E063-4804A8C0B0EB","140500","2024-12-06","M11 4FX","T","N","F","","79","RANELAGH STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-8983-295E-E063-4804A8C0B0EB/current"
"31C68072-F4C8-FEE3-E063-4804A8C04F37","190000","2025-03-19","M11 4NF","T","N","F","","189","NORTH ROAD","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-F4C8-FEE3-E063-4804A8C04F37/current"
"2D4D7609-D5F2-BDF9-E063-4804A8C0672F","111000","2024-12-12","M11 4NH","T","N","F","","5","STANTON STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-D5F2-BDF9-E063-4804A8C0672F/current"
"36A61A95-4D57-DEF2-E063-4704A8C046AE","82500","2025-04-11","M11 4PT","T","N","F","","36","GLENOLDEN STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A95-4D57-DEF2-E063-4704A8C046AE/current"
"31C68072-0BE5-FEE3-E063-4804A8C04F37","135000","2025-03-26","M11 4QZ","T","N","F","","45","COATBRIDGE STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-0BE5-FEE3-E063-4804A8C04F37/current"
"31C68072-0CD5-FEE3-E063-4804A8C04F37","194000","2025-02-28","M11 4RD","T","N","F","","34","COATBRIDGE STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-0CD5-FEE3-E063-4804A8C04F37/current"
"31C68072-328E-FEE3-E063-4804A8C04F37","167500","2025-02-14","M11 4SD","T","N","F","","4","ROSLIN STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-328E-FEE3-E063-4804A8C04F37/current"
"34222872-41D3-4D2B-E063-4704A8C07853","166200","2025-03-26","M11 4SD","T","N","F","","5","ROSLIN STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-41D3-4D2B-E063-4704A8C07853/current"
"2F7F2B43-D312-E08F-E063-4804A8C05A49","145000","2025-02-10","M12 4GP","T","N","F","","35","SEDDON STREET","","MANCHESTER","MANCHESTER","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-D312-E08F-E063-4804A8C05A49/current"
